Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,02002;1,47857
0,02007;1,48275
0,02011;1,48498
0,02015;1,48717
0,02019;1,48869
0,02023;1,49385
0,02027;1,49718
0,02031;1,49912
0,02035;1,50268
0,0204;1,50696
0,02044;1,50888
0,02048;1,51031
0,02053;1,51507
0,02058;1,51904
0,02062;1,51988
0,02065;1,52183
0,02069;1,5254
0,02073;1,52897
0,02078;1,53169
0,02082;1,53419
0,02086;1,53717
0,0209;1,53895
0,02095;1,54434
0,02099;1,54572
0,02103;1,54634
0,02109;1,55207
0,02113;1,5547
0,02117;1,55515
0,02121;1,56037
0,02124;1,56236
0,02129;1,56523
0,02133;1,56847
0,02137;1,56897
0,02141;1,57448
0,02145;1,57526
0,0215;1,57839
0,02154;1,58232
0,02158;1,58512
0,02164;1,58739
0,02168;1,59005
0,02172;1,59218
0,02175;1,59538
0,02179;1,60004
0,02183;1,60624
0,02188;1,60839
0,02192;1,61059
0,02196;1,61448
0,02201;1,61765
0,02205;1,61911
0,02209;1,62412
0,02214;1,63073
0,02219;1,63408
0,02223;1,63529
0,02226;1,64054
0,0223;1,64434
0,02234;1,64989
0,02239;1,65576
0,02243;1,65908
0,02247;1,66359
0,02251;1,66726
0,02256;1,6731
0,0226;1,67716
0,02265;1,68264
0,02269;1,68882
0,02273;1,6915
0,02277;1,69729
0,02281;1,70092
0,02285;1,70713
0,0229;1,71464
0,02294;1,71707
0,02298;1,72103
0,02302;1,72803
0,02306;1,73295
0,02311;1,73898
0,02315;1,74294
0,0232;1,74859
0,02325;1,75572
0,02329;1,7588
0,02332;1,76402
0,02336;1,76678
0,0234;1,77354
0,02344;1,77911
0,02348;1,78362
0,02353;1,78789
0,02357;1,79488
0,02362;1,79994
0,02366;1,80338
0,0237;1,81007
0,02375;1,81551
0,02379;1,81987
0,02383;1,82366
0,02387;1,82968
0,02391;1,83214
0,02395;1,83912
0,02399;1,84491
0,02403;1,84792
0,02408;1,85355
0,02412;1,85955
0,02416;1,86338
0,0242;1,86925
0,02425;1,87483
0,0243;1,88065
0,02434;1,88472
0,02438;1,88811
0,02442;1,89605
0,02446;1,89997
0,0245;1,90562
0,02454;1,91095
0,02458;1,9163
0,02463;1,92341
0,02467;1,93083
0,02471;1,93396
0,02476;1,93972
0,02481;1,94867
0,02485;1,95327
0,02489;1,95683
0,02493;1,96117
0,02497;1,96983
0,02502;1,97688
0,02506;1,98067
0,02509;1,98414
0,02513;1,99186
0,02518;1,99763
0,02522;2,00531
0,02526;2,00869
0,02531;2,01752
0,02536;2,02213
0,0254;2,02501
0,02544;2,02872
0,02548;2,03358
0,02552;2,03979
0,02556;2,04647
0,0256;2,05002
0,02564;2,05581
0,02569;2,06002
0,02573;2,06584
0,02577;2,06684
0,02582;2,07162
0,02587;2,08208
0,02591;2,08437
0,02595;2,08776
0,02599;2,09301
0,02603;2,09785
0,02607;2,10555
0,02611;2,10891
0,02615;2,11395
0,02619;2,11855
0,02624;2,12482
0,02628;2,13119
0,02632;2,13287
0,02637;2,14096
0,02642;2,14668
0,02646;2,14899
0,0265;2,1543
0,02654;2,15981
0,02658;2,1618
0,02662;2,16903
0,02666;2,17383
0,0267;2,17711
0,02674;2,18284
0,02679;2,18777
0,02683;2,19155
0,02687;2,19788
0,02693;2,20412
0,02697;2,20857
0,02701;2,21147
0,02705;2,21636
0,02709;2,22027
0,02713;2,22657
0,02717;2,23104
0,02721;2,2345
0,02725;2,23826
0,0273;2,24579
0,02734;2,24593
0,02738;2,24898
0,02743;2,25649
0,02748;2,26371
0,02752;2,26371
0,02756;2,26732
0,02759;2,27256
0,02764;2,27897
0,02768;2,28266
0,02772;2,28828
0,02776;2,29148
0,0278;2,29602
0,02785;2,29925
0,02788;2,30374
0,02793;2,30676
0,02798;2,31518
0,02803;2,31763
0,02807;2,32026
0,02811;2,32392
0,02815;2,32662
0,02819;2,3334
0,02823;2,3359
0,02827;2,3413
0,02831;2,34552
0,02835;2,35186
0,0284;2,35689
0,02844;2,3591
0,02849;2,36603
0,02854;2,37148
0,02858;2,37309
0,02862;2,375
0,02865;2,37877
0,02869;2,38566
0,02873;2,39159
0,02878;2,3925
0,02882;2,40067
0,02886;2,40195
0,0289;2,40841
0,02894;2,40872
0,02899;2,41383
0,02904;2,42171
0,02908;2,42494
0,02912;2,42535
0,02916;2,42942
0,0292;2,43227
0,02924;2,43953
0,02928;2,44132
0,02933;2,44585
0,02937;2,44901
0,02941;2,45515
0,02945;2,45766
0,02949;2,45935
0,02954;2,4647
0,02959;2,47124
0,02964;2,47364
0,02968;2,47464
0,02972;2,4777
0,02976;2,48108
0,0298;2,48652
0,02984;2,49004
0,02988;2,4906
0,02992;2,49742
0,02996;2,50306
0,03;2,50286
0,03005;2,50566
0,0301;2,5131
0,03014;2,51518
0,03018;2,51423
0,03022;2,51845
0,03026;2,52301
0,0303;2,52674
0,03034;2,52924
0,03038;2,53217
0,03042;2,53499
0,03047;2,5412
0,03051;2,54233
0,03055;2,54592
0,0306;2,55014
0,03065;2,55266
0,03069;2,55468
0,03073;2,55747
0,03077;2,55966
0,03081;2,56367
0,03085;2,56633
0,0309;2,57009
0,03094;2,5729
0,03098;2,57617
0,03102;2,57856
