Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,0246;1,66295
0,02464;1,66569
0,02468;1,66738
0,02473;1,66934
0,02476;1,67074
0,02481;1,67453
0,02485;1,67285
0,02488;1,67297
0,02493;1,67679
0,02498;1,67938
0,02502;1,67837
0,02506;1,68174
0,0251;1,68093
0,02514;1,67939
0,02518;1,68069
0,02521;1,68304
0,02525;1,68409
0,02529;1,68535
0,02534;1,69265
0,02538;1,68789
0,02542;1,68956
0,02547;1,69331
0,02551;1,69235
0,02555;1,69242
0,02558;1,69858
0,02562;1,69433
0,02566;1,69755
0,02571;1,70034
0,02575;1,69694
0,02578;1,70226
0,02583;1,70232
0,02587;1,71012
0,02591;1,70465
0,02595;1,70703
0,026;1,70767
0,02604;1,67802
0,02608;1,68248
0,02612;1,69071
0,02615;1,68958
0,0262;1,7135
0,02624;1,71454
0,02628;1,71233
0,02632;1,71131
0,02636;1,71608
0,0264;1,69729
0,02644;1,69467
0,02649;1,69564
0,02653;1,69688
0,02657;1,69909
0,02661;1,70582
0,02665;1,72347
0,02668;1,7052
0,02673;1,72567
0,02677;1,72792
0,02681;1,72267
0,02685;1,72602
0,02689;1,7252
0,02693;1,72553
0,02697;1,72853
0,02702;1,73138
0,02707;1,73283
0,0271;1,72983
0,02714;1,72813
0,02717;1,72998
0,02722;1,73503
0,02726;1,73306
0,0273;1,74067
0,02734;1,73745
0,02738;1,73727
0,02743;1,73692
0,02747;1,7348
0,02751;1,7401
0,02755;1,74363
0,02759;1,74265
0,02763;1,74068
0,02767;1,74125
0,02771;1,74409
0,02775;1,74624
0,02779;1,74387
0,02783;1,7451
0,02787;1,7446
0,02791;1,75112
0,02795;1,74798
0,028;1,75246
0,02805;1,75398
0,02809;1,75436
0,02812;1,75003
0,02816;1,75011
0,0282;1,7541
0,02824;1,7543
0,02828;1,75688
0,02832;1,75621
0,02836;1,75791
0,02841;1,75893
0,02845;1,76458
0,02849;1,76013
0,02853;1,76199
0,02858;1,76555
0,02862;1,76297
0,02865;1,76438
0,02869;1,7642
0,02873;1,76258
0,02877;1,7683
0,02881;1,76878
0,02885;1,77046
0,02889;1,7739
0,02894;1,77122
0,02898;1,77061
0,02902;1,76958
0,02907;1,77372
0,02911;1,77333
0,02914;1,77357
0,02918;1,77462
0,02922;1,77568
0,02926;1,77517
0,0293;1,77998
0,02934;1,78187
0,02938;1,78253
0,02943;1,78478
0,02947;1,78656
0,02951;1,78607
0,02955;1,79083
0,0296;1,78453
0,02964;1,78259
0,02967;1,78167
0,02971;1,78026
0,02975;1,7901
0,0298;1,79119
0,02983;1,79191
0,02987;1,79499
0,02991;1,7875
0,02996;1,79326
0,03;1,79557
0,03004;1,79864
0,03009;1,80421
0,03013;1,80324
0,03017;1,79337
0,03021;1,80312
0,03024;1,80686
0,03028;1,81248
0,03032;1,80668
0,03036;1,81024
0,0304;1,80873
0,03045;1,81349
0,03049;1,81582
0,03053;1,81745
0,03057;1,82153
0,03062;1,82664
0,03066;1,83227
0,0307;1,85109
0,03074;1,84684
0,03078;1,8262
0,03082;1,84195
0,03085;1,83774
0,03089;1,84682
0,03093;1,84791
0,03098;1,85201
0,03102;1,85287
0,03106;1,85594
0,03111;1,8539
0,03115;1,86136
0,03119;1,86275
0,03123;1,87649
0,03126;1,86335
0,03131;1,86353
0,03135;1,87043
0,03138;1,87347
0,03142;1,87652
0,03146;1,87459
0,03151;1,8798
0,03155;1,88171
0,0316;1,88377
0,03164;1,8867
0,03168;1,8876
0,03172;1,88778
0,03176;1,88874
0,03179;1,89279
0,03184;1,89475
0,03187;1,8973
0,03192;1,90123
0,03196;1,90333
0,032;1,90112
0,03204;1,90292
0,03208;1,90738
0,03213;1,91352
0,03218;1,91277
0,03221;1,91228
0,03225;1,91096
0,03229;1,91613
0,03233;1,91915
0,03237;1,91933
0,03241;1,92008
0,03245;1,92391
0,03249;1,92713
0,03253;1,92933
0,03257;1,93205
0,03261;1,93399
0,03266;1,93913
0,0327;1,93741
