Local Peak Maximum (Comp. extension 1 % Change) : HoraalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;sec
Local Peak Maximum (Comp. extension 1 % Change) : CargaalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;N
Local Peak Maximum (Comp. extension 1 % Change) : Extensión por compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;mm
Local Peak Maximum (Comp. extension 1 % Change) : Esfuerzo de compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;MPa

Hora;Extensión;Carga
(sec);(mm);(N)
7,13400;-0,06619;-1121,31834
7,16800;-0,06649;-1123,88982
7,20200;-0,06678;-1126,47172
7,23600;-0,06702;-1129,00175
7,27000;-0,06732;-1131,53849
7,31000;-0,06762;-1134,16603
7,36000;-0,06798;-1136,67920
7,39400;-0,06828;-1139,20020
7,42000;-0,06846;-1141,81042
7,45600;-0,06876;-1144,43637
7,49400;-0,06906;-1147,00068
7,51800;-0,06930;-1149,65606
7,55600;-0,06965;-1152,26554
7,59800;-0,07001;-1154,81867
7,63000;-0,07031;-1157,32467
7,68400;-0,07073;-1159,89111
7,73000;-0,07109;-1162,48121
7,75800;-0,07133;-1165,00072
7,78800;-0,07157;-1167,60731
7,83200;-0,07199;-1170,23587
7,86200;-0,07229;-1172,85987
7,89000;-0,07258;-1175,44159
7,91800;-0,07282;-1178,01568
7,93600;-0,07306;-1180,53947
7,97000;-0,07336;-1183,06987
8,01400;-0,07372;-1185,62635
8,06600;-0,07414;-1188,27410
8,12000;-0,07456;-1190,92437
8,15400;-0,07480;-1193,48746
8,19800;-0,07516;-1196,02811
8,23800;-0,07545;-1198,59902
8,27200;-0,07569;-1201,13669
8,31800;-0,07605;-1203,79496
8,34400;-0,07623;-1206,30050
8,39000;-0,07659;-1208,80883
8,42200;-0,07683;-1211,33672
8,46400;-0,07719;-1213,95215
8,50600;-0,07755;-1216,51953
8,54000;-0,07785;-1219,02768
8,56800;-0,07803;-1221,56646
8,63200;-0,07856;-1224,06967
8,67200;-0,07886;-1226,57642
8,70600;-0,07916;-1229,12740
8,74600;-0,07952;-1231,75047
8,78200;-0,07982;-1234,31338
8,81200;-0,08006;-1236,87182
8,85400;-0,08048;-1239,40306
8,90800;-0,08090;-1241,99437
8,95200;-0,08125;-1244,58289
8,99600;-0,08161;-1247,13974
9,03400;-0,08197;-1249,69548
9,06800;-0,08227;-1252,27487
9,10000;-0,08257;-1254,86851
9,13800;-0,08299;-1257,38308
9,17200;-0,08335;-1260,01202
9,20600;-0,08365;-1262,54633
9,24600;-0,08400;-1265,10495
9,30400;-0,08448;-1267,64970
9,35600;-0,08484;-1270,23691
9,41000;-0,08526;-1272,87637
9,45400;-0,08562;-1275,46377
9,51200;-0,08604;-1278,09392
9,55400;-0,08634;-1280,67089
9,59800;-0,08669;-1283,20837
9,63600;-0,08699;-1285,79699
9,67400;-0,08729;-1288,38653
9,71000;-0,08759;-1290,98259
9,76200;-0,08801;-1293,56356
9,80200;-0,08837;-1296,09900
9,85200;-0,08873;-1298,62064
9,90800;-0,08921;-1301,27193
9,95600;-0,08962;-1303,82311
9,99000;-0,08992;-1306,41954
10,03200;-0,09028;-1309,07940
10,07800;-0,09070;-1311,60021
10,13000;-0,09112;-1314,15473
10,19000;-0,09160;-1316,66576
10,24400;-0,09202;-1319,24553
10,28400;-0,09237;-1321,81337
10,32000;-0,09267;-1324,38876
10,35200;-0,09303;-1326,93863
10,38400;-0,09333;-1329,50665
10,41400;-0,09369;-1332,10011
10,46000;-0,09417;-1334,76565
10,52200;-0,09471;-1337,29316
10,60600;-0,09530;-1339,86231
10,68200;-0,09584;-1342,37418
10,73400;-0,09620;-1344,98645
10,76000;-0,09644;-1347,60225
10,80400;-0,09680;-1350,16814
10,84600;-0,09710;-1352,73281
10,90000;-0,09758;-1355,31705
10,95200;-0,09799;-1357,90678
